index,sample_index,dataset,requested_split,resolved_split,image_ref,image_column,score,predicted_label,predicted_label_name,threshold,gt_label,gt_label_raw,gt_label_name,gt_label_source,is_correct,metadata_json,exported_image_path,export_image_size,label
5,6,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:5,image,0.4293266832828522,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000006.jpg,224,0
6,7,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:6,image,1.0055832035116286e-11,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000007.jpg,224,0
7,8,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:7,image,0.8114215135574341,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000008.jpg,224,0
8,9,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:8,image,0.10716993361711502,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000009.jpg,224,0
9,10,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:9,image,1.522538184417499e-07,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000010.jpg,224,0
10,11,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:10,image,0.45210087299346924,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000011.jpg,224,0
11,12,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:11,image,3.963450944866054e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000012.jpg,224,0
12,13,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:12,image,0.38024452328681946,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000013.jpg,224,0
13,14,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:13,image,0.43761706352233887,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000014.jpg,224,0
14,15,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:14,image,0.7001011967658997,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000015.jpg,224,0
15,16,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:15,image,0.973716676235199,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000016.jpg,224,0
16,17,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:16,image,0.7333628535270691,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000017.jpg,224,0
17,18,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:17,image,0.006585870869457722,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000018.jpg,224,0
18,19,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:18,image,0.0037091500125825405,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000019.jpg,224,0
19,20,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:19,image,0.20474106073379517,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000020.jpg,224,0
20,21,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:20,image,8.732905953934278e-09,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000021.jpg,224,0
21,22,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:21,image,0.9908547401428223,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000022.jpg,224,0
22,23,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:22,image,0.9999443292617798,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000023.jpg,224,0
23,24,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:23,image,1.1501329936436377e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000024.jpg,224,0
24,25,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:24,image,4.935750894219382e-06,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000025.jpg,224,0
25,26,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:25,image,0.01983892172574997,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000026.jpg,224,0
26,27,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:26,image,0.18114982545375824,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000027.jpg,224,0
